list_name,name,label
sex_list,1,Hombre
sex_list,2,Mujer
sex_list,3,Otro
sex_list,4,Prefiero no responder
gen_list,1,Masculino
gen_list,2,Femenino
gen_list,3,Transmasculino
gen_list,4,Transfemenino
gen_list,5,No binario
gen_list,6,Otro género
gen_list,7,Prefiero no responder
curso,1,Primero básico
curso,2,Segundo básico
curso,3,Tercero básico
curso,4,Otro
educacion,1,Educación básica incompleta
educacion,2,Educación básica completa
educacion,3,Educación media científico-humanista incompleta
educacion,4,Educación media científico-humanista completa
educacion,5,Educación media técnico-profesional incompleta
educacion,6,Educación media técnico-profesional completa
educacion,7,Técnico nivel superior incompleto -carreras de 1 a 3 años-
educacion,8,Técnico nivel superior completo -carreras de 1 a 3 años-
educacion,9,Profesional incompleto -carreras de 4 años o más-
educacion,10,Profesional completo -carreras de 4 años o más-
educacion,11,"Estudios de postgrado, magister/master, doctorado"
pais,1,Chilena
pais,2,Peruana
pais,3,Boliviana
pais,4,Colombiana
pais,5,Venezolana
pais,6,Haitiana
pais,7,Otra
region,1,Arica y Parinacota
region,2,Tarapacá
region,3,Antofagasta
region,4,Atacama
region,5,Coquimbo
region,6,Valparaíso
region,7,Región Metropolitana de Santiago
region,8,Libertador General Bernardo O’Higgins
region,9,Maule
region,10,Ñuble
region,11,Biobío
region,12,La Araucanía
region,13,Los Ríos
region,14,Los Lagos
region,15,Aysén del General Carlos Ibáñez del Campo
region,16,Magallanes y de la Antártica Chilena
comuna_rm,1,Alhué
comuna_rm,2,Buin
comuna_rm,3,Calera de Tango
comuna_rm,4,Cerrillos
comuna_rm,5,Cerro Navia
comuna_rm,6,Colina
comuna_rm,7,Conchalí
comuna_rm,8,Curacaví
comuna_rm,9,El Bosque
comuna_rm,10,El Monte
comuna_rm,11,Estación Central
comuna_rm,12,Huechuraba
comuna_rm,13,Independencia
comuna_rm,14,Isla de Maipo
comuna_rm,15,La Cisterna
comuna_rm,16,La Florida
comuna_rm,17,La Granja
comuna_rm,18,Lampa
comuna_rm,19,La Pintana
comuna_rm,20,La Reina
comuna_rm,21,Las Condes
comuna_rm,22,Lo Barnechea
comuna_rm,23,Lo Espejo
comuna_rm,24,Lo Prado
comuna_rm,25,Macul
comuna_rm,26,Maipú
comuna_rm,27,María Pinto
comuna_rm,28,Melipilla
comuna_rm,29,Ñuñoa
comuna_rm,30,Padre Hurtado
comuna_rm,31,Paine
comuna_rm,32,Pedro Aguirre Cerda
comuna_rm,33,Peñaflor
comuna_rm,34,Peñalolén
comuna_rm,35,Pirque
comuna_rm,36,Providencia
comuna_rm,37,Pudahuel
comuna_rm,38,Puente Alto
